pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
195.593,-99.177,0.0,top,BT1,,,BatteryHolder_Keystone_1060_1x2032,Q&J CR2032-BS-6-1,smt
206.267,-126.7565,0.0,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt
206.267,-124.3645,0.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
200.682,-131.301,180.0,top,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt
200.682,-129.015,180.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
186.028,-135.365,-90.0,top,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
201.586,-125.644,90.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt
195.363,-125.84,-90.0,top,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.7uF,smt
184.631,-114.791,-90.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
193.013,-125.84,90.0,top,D1,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3V3_POWER_LED,smt
209.904,-111.362,-90.0,top,D2,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED_ALIVE,smt
198.525,-71.5,-90.0,bottom,J1,,,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,BUTTONS,tht
205.0,-136.0,0.0,top,J2,,,USB-C (only power),~,smt
216.0,-128.5,90.0,top,J3,,,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,BUTTONS IN BOARD,tht
216.0,-116.0,90.0,top,J4,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,hours,tht
216.0,-106.5,90.0,top,J5,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,minutes,tht
216.0,-97.0,90.0,top,J6,,,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,seconds,tht
199.505,-109.711,90.0,top,J7,,,PinHeader_1x03_P2.54mm_Vertical,ST-Link,tht
206.729,-130.412,-90.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
204.57,-130.412,90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
194.029,-128.888,0.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
207.618,-111.362,90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,15K,smt
199.276,-121.402,-90.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
201.435,-121.402,90.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
209.65,-108.314,180.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
191.489,-136.231,180.0,top,SW1,,,SMD BUTTON 5.1x5.1,RESET_B,smt
190.0,-74.0,-90.0,top,SW2,,,SMD BUTTON 5.1x5.1,MINUTES,smt
207.0,-74.0,90.0,top,SW3,,,SMD BUTTON 5.1x5.1,HOURS,smt
206.642,-118.227,90.0,top,U1,,,TSSOP-20_4.4x6.5mm_P0.65mm,STM32G030F6Px,smt
198.387,-125.72,-90.0,top,U2,,,SOT-23,H7233-1,smt
191.91,-116.957,0.0,top,U3,,,SOIC-16W_7.5x10.3mm_P1.27mm,DS3231M,smt
207.0,-81.5,0.0,top,mouse-bite-3mm-slot,,,mouse-bite-3mm-slot,VAL**,tht
190.0,-81.5,0.0,top,mouse-bite-3mm-slot,,,mouse-bite-3mm-slot,VAL**,tht
